Date,Total Nodes(C),In Use,Offline,Available,Down,Running Jobs,Jobs in Queue
13-06-2025 12:30,422,415,2,6,0,127,35
13-06-2025 13:30,422,415,2,6,0,131,37
13-06-2025 14:30,422,415,1,7,0,130,30
13-06-2025 15:30,422,417,1,5,0,129,30
13-06-2025 16:30,422,418,1,4,0,130,35
13-06-2025 17:30,422,417,0,5,0,132,37
13-06-2025 18:30,422,417,0,5,0,135,39
13-06-2025 19:30,422,417,0,5,0,137,23
13-06-2025 20:30,422,417,0,5,0,135,29
13-06-2025 21:30,422,409,0,13,0,138,13
13-06-2025 22:30,422,411,0,11,0,129,10
13-06-2025 23:30,422,408,0,14,0,121,9
14-06-2025 00:30,422,400,0,22,0,118,9
14-06-2025 01:30,422,412,0,10,0,117,8
14-06-2025 02:30,422,412,0,10,0,117,8
14-06-2025 03:30,422,407,0,15,0,114,7
14-06-2025 04:30,422,395,0,27,0,110,5
14-06-2025 05:30,422,382,0,40,0,108,5
14-06-2025 06:30,422,364,0,58,0,105,5
14-06-2025 07:30,422,368,0,54,0,106,5
14-06-2025 08:30,422,363,0,59,0,105,5
14-06-2025 09:30,422,319,0,103,0,105,5
14-06-2025 10:30,422,334,0,88,0,112,8
14-06-2025 11:30,422,352,0,70,0,111,12
14-06-2025 12:30,422,363,0,59,0,114,12
14-06-2025 13:30,422,413,0,9,0,120,22
14-06-2025 14:30,422,412,0,10,0,127,15
14-06-2025 15:30,422,414,0,8,0,123,16
14-06-2025 16:30,422,414,0,8,0,123,26
14-06-2025 17:30,422,414,0,8,0,124,23
14-06-2025 18:30,422,415,0,7,0,130,8
14-06-2025 19:30,422,412,0,10,0,120,13
14-06-2025 20:30,422,414,0,8,0,113,19
14-06-2025 21:30,422,414,0,8,0,115,14
14-06-2025 22:30,422,414,0,8,0,116,11
14-06-2025 23:30,422,414,0,8,0,120,15
15-06-2025 00:30,422,403,0,19,0,113,12
15-06-2025 01:30,422,395,0,27,0,107,13
15-06-2025 02:30,422,396,0,26,0,111,17
15-06-2025 03:30,422,396,0,26,0,111,15
15-06-2025 04:30,422,383,0,39,0,107,14
15-06-2025 05:30,422,384,0,38,0,105,13
15-06-2025 06:30,422,369,0,53,0,104,10
15-06-2025 07:30,422,369,0,53,0,101,8
15-06-2025 08:30,422,369,0,53,0,101,8
15-06-2025 09:30,422,379,0,43,0,107,7
15-06-2025 10:30,422,380,0,42,0,111,10
15-06-2025 11:30,422,363,0,59,0,104,13
15-06-2025 12:30,422,341,0,81,0,101,13
15-06-2025 13:30,422,344,0,78,0,101,10
15-06-2025 14:30,422,372,0,50,0,101,13
15-06-2025 15:30,422,366,0,56,0,101,13
15-06-2025 16:30,422,371,0,51,0,103,13
15-06-2025 17:30,422,386,0,36,0,104,16
15-06-2025 18:30,422,399,0,23,0,105,16
15-06-2025 19:30,422,386,0,36,0,99,16
15-06-2025 20:30,422,394,0,28,0,103,16
15-06-2025 21:30,422,397,0,25,0,100,16
15-06-2025 22:30,422,382,0,40,0,99,16
15-06-2025 23:30,422,355,0,67,0,100,16
16-06-2025 00:30,422,363,0,59,0,105,15
16-06-2025 01:30,422,357,0,65,0,101,14
