Date,Prophet,Residuals,Available
07-03-2025 04:00,46.20456912,31.622858,77
07-03-2025 05:00,50.53979876,57.026657,107
07-03-2025 06:00,55.45811752,37.45037,92
07-03-2025 07:00,58.55392542,88.18074,146
07-03-2025 08:00,56.95458387,31.571968,88
07-03-2025 09:00,49.66585564,-17.31882,32
07-03-2025 10:00,38.73324021,11.929204,50
07-03-2025 11:00,28.1036865,-31.20213,0
07-03-2025 12:00,21.04457873,-19.68899,1
07-03-2025 13:00,18.21283914,25.18701,43
07-03-2025 14:00,17.84129035,63.576546,81
