Date,Prophet,Residuals,Hybrid_Available
2025-03-05 22:10:01,150.44537407304455,-16.24926,134
2025-03-05 23:10:01,153.3502731920821,-16.24926,137
2025-03-06 00:10:01,157.73661194142983,1.5246915,159
2025-03-06 01:10:01,162.93662501653245,1.5246915,164
2025-03-06 02:10:01,167.55137638284435,1.5246915,169
2025-03-06 03:10:01,170.7843917125232,1.5246915,172
2025-03-06 04:10:01,173.31766813621527,1.0244924,174
2025-03-06 05:10:01,176.60535094807614,1.0244924,177
2025-03-06 06:10:01,181.05110368698485,1.0244924,182
2025-03-06 07:10:01,184.8409901100132,1.0244924,185
2025-03-06 08:10:01,184.81712578619636,2.1954062,187
2025-03-06 09:10:01,178.925067383657,2.1954062,181
2025-03-06 10:10:01,168.17772575326302,0.080485485,168
2025-03-06 11:10:01,156.32779819797622,-0.41118214,155
2025-03-06 12:10:01,147.3917308061998,-2.8403368,144
2025-03-06 13:10:01,143.04703597357212,-2.9213886,140
2025-03-06 14:10:01,141.99674473772825,-5.2572217,136
2025-03-06 15:10:01,141.61800707738166,-9.698743,131
2025-03-06 16:10:01,140.26171506509155,-7.2542562,133
2025-03-06 17:10:01,138.22023438068078,-6.0840364,132
2025-03-06 18:10:01,136.82741658647547,-6.009426,130
2025-03-06 19:10:01,136.90552891063754,-6.5591316,130
2025-03-06 20:10:01,138.15938216766187,-7.2007985,130
2025-03-06 21:10:01,139.91265318313992,-4.5592685,135
2025-03-06 22:10:01,142.13357884884988,-4.0277333,138
2025-03-06 23:10:01,145.5002756435424,-4.0277333,141
2025-03-07 00:10:01,150.4332154390359,8.790849,159
2025-03-07 01:10:01,156.25269421167212,8.790849,165
2025-03-07 02:10:01,161.54735252486455,8.790849,170
2025-03-07 03:10:01,165.5080298156874,8.790849,174
2025-03-07 04:10:01,168.8039964616541,8.29065,177
2025-03-07 05:10:01,172.8768500669632,8.29065,181
2025-03-07 06:10:01,178.11809921015316,8.29065,186
2025-03-07 07:10:01,182.70225011902863,8.29065,190
2025-03-07 08:10:01,183.46065107125787,9.461565,192
2025-03-07 09:10:01,178.32905983577422,10.546128,188
2025-03-07 10:10:01,168.3117177130767,8.738299,177
2025-03-07 11:10:01,157.1539232581955,8.246633,165
2025-03-07 12:10:01,148.86611457186228,5.8174815,154
2025-03-07 13:10:01,145.12128352441852,5.7364297,150
2025-03-07 14:10:01,144.61950015780337,3.4005938,148
